,0
0,2.0965589687991106
1,2.2323997013961265
2,2.380850507289271
3,2.529923257002327
4,2.6014771695575485
5,2.6174056384594144
6,2.678553006259173
7,2.6915428720413064
8,2.7564730813636737
9,2.775040296709607
